"No.","Date","Genre","Bibl","Hit"
"1","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__139 Ich finde es noch nicht mal , was Sie gesagt haben , sinnlich prächtig , das ist alles der traditionelle historische Roman , der ausmalt und der sich eigentlich auch seines Helden annimmt , der seinen Helden irgendwie feiert , der ihn sympathisch macht ."
"2","2001-05-04","Gesprochene Sprache","Das Literarische Quartett vom 4. Mai 2001","__speaker__135 Ihr dürft eines nicht vergessen : Dostojewski hat - wie alle Kenner russischer Literatur , Russen mir sagen- einen Fehler , den wir nicht beurteilen können : Er ist stilistisch nicht so prächtig ."
"3","2000-06-12","Gesprochene Sprache","Weingarten, Susanne, ""Man wird bescheiden"", in: Der Spiegel 12.06.2000, S. 202 u. 204-205","__speaker__433 __speaker__433 Auch ohne Stars entwickelt sich die deutsche Filmwirtschaft derzeit prächtig : Zahlreiche Unternehmen sind an die Börse gegangen und plötzlich dreistellige Millionenbeträge wert ."
"4","1994-02-24","Gesprochene Sprache","Das Literarische Quartett vom 24. Februar 1994","__speaker__174 Es war großartig , es war prächtig , es war eindrücklich ."
"5","1992-11-09","Gesprochene Sprache","o.A., ""Ich brauche intelligente Profis"", in: Der Spiegel 09.11.1992, S. 246, 248 u. 250","__speaker__589 Und bei Milan funktioniert das prächtig ."
"6","1987-01-05","Gesprochene Sprache","o.A., ""Im Märchenwald des deutschen Gemüts"", in: Der Spiegel 05.01.1987, S. 31-32","__speaker__433 Und sein Helfer Stürmer sieht schon Kapitel die als gesichert in den Reichstag gehören : die Entwicklung der deutschen Nationalkultur , die Geburt der Nation , die wirtschaftliche Einigung . . . __speaker__647 Aber so gradlinig positiv verläuft unsere Geschichte nicht , man kann sie nicht in eine logische Abfolge von Vitrinen stopfen und sagen : So hat sich alles folgerichtig und prächtig entwickelt ."
"7","1983-05-09","Gesprochene Sprache","o.A., ""Ins Gefängnis gehören diese Leute"", in: Der Spiegel 09.05.1983, S. 110-112","__speaker__464 Seine Werke waren schön eingebunden und prächtig anzusehen ."
"8","1976-06-01","Gesprochene Sprache","Ullmann, Bettina, Diskussionsbeitrag auf dem X. Parlament der FDJ am 01.06.1976","__speaker__418 Parteitag prächtig vorangebracht ."
"9","1939-06-10","Gesprochene Sprache","o.A., Tagebuch des Sieges: Tagebuchaufzeichnungen von Angehörigen der Legion Condor, 10.06.1939","__speaker__194 hier den weiten Platz der Straße säumt , gleitet ein fröhliches Lachen , und wir als Deutsche freuen uns , am Tage des Sieges feststellen zu dürfen , dass wir dabei sein können und sehen können , wie prächtig sich unsere Soldaten in das Herz des Spaniers hineingekämpft haben ."
