"No.","Date","Genre","Bibl","Hit"
"44","1943-06-06","Gesprochene Sprache","o.A., Rechenschaftsbericht an Reichsminister Rosenberg in Kiew, 06.06.1943","__speaker__194 Die Aufrufung der Jahrgänge hat sich ausgezeichnet bewährt , jedoch muss festgestellt werden , dass erstens bereits bei den zurückliegenden Werbungen erhebliche Zugriffe auf dieses Reservoir der Jahrgänge durchgeführt werden musste und darüber hinaus die Vorbehalte , die für alle Bedarfsträger , die im Lande hier sind , also ich nenne Eisenbahn , die Staatsgüter , ich nenne weiterhin die Forstverwaltung , die Post , die Polizei und so weiter , dass hier außerordentlich starke Ausnahmen durchgeführt werden mussten , so dass in einzelnen Bezirken die Grundsätzlichkeit der Ausmusterung nach Jahrgängen geradezu unterhöhlt zu werden droht ."
"45","1940-07-19","Gesprochene Sprache","Hitler, Adolf, Die Schande von Compiègne ist für immer gelöscht, in: Max Domarus (Hg.), Hitlers Reden und Proklamationen 1932-1945, München 1965 [1940], S. 1540-1559","__speaker__284 In dieser . . . Phase dieses Krieges haben sich im Verein mit den schon genannten Generalen als Armeeführer ebenfalls ausgezeichnet Generaloberst von Witzleben und die Generale von Weichs , Dollmann , Strauß ."
"46","1939-06-25","Gesprochene Sprache","o.A., Gau-Appell des Gaues Ostpreußen der NSDAP im Schlosshof zu Königsberg, 25.06.1939","__speaker__210 In der Geschichte des deutschen Volkes gibt es manches Jahrzehnt und manchen noch größeren Zeitraum , der viel weniger an Leistungen und Erfolgen umschließt , als ein einziges Jahr nationalsozialistischer Staatsführung oder umgekehrt gesagt , jedes einzelne Jahr unter der Führung Adolf Hitlers ist ausgezeichnet durch eine Fülle von entscheidenden Taten und wertvollen Ergebnissen auf allen Ebenen des Lebens ."
"47","1938-09-07","Gesprochene Sprache","o.A., Ansprachen von Alfred Rosenberg, Erich Hilgenfeldt und Gerhard Wagner auf dem Reichsparteitag der NSDAP, 07.09.1938","__speaker__218 In dieser eisernen Geschlossenheit und in der gleichen pflichtbewussten Vertretung , wie sie den Kampf um die Macht ausgezeichnet hat , muss auch die Verbundenheit zwischen nationaler Ehre , sozialem Denken und Volkskameradschaft die alles gestaltende Einheit der Bewegung und ihrer Gliederungen bilden ."
"48","1936-08-03","Gesprochene Sprache","o.A., Olympische Sommerspiele 1936 in Berlin, Wettbewerbe. Reportage vom 100 m-Endlauf der Männer, 03.08.1936","__speaker__200 Aber er hat sich ausgezeichnet gehalten , vergessen wir nicht , dass er zweiunddreißig Jahre alt ist , vergessen wir nicht , dass sich jetzt die Ermüdungen der heißen Kämpfe , der Vorläufe , der Zwischenläufe doch irgendwie bemerkbar machen ."
"49","1936-07-30","Gesprochene Sprache","o.A., Olympische Sommerspiele in Berlin: Reportage vom Training im Schwimmstadion und vom Rudern, 30.07.1936","__speaker__200 Ihre hellen , blauen Blätter leuchten , sie balancieren jetzt gerade , halten ihr Boot still und versuchen ihre Watermanship , die schon ganz ausgezeichnet ist und die sie in einigen großen Rennen in England bewiesen , zu verbessern ."
"50","1936-03-07","Gesprochene Sprache","Hitler, Adolf, Für eine Verständigung der Völker Europas ..., in: Rede des Führers und Reichskanzlers Adolf Hitlers vor dem Reichstag am 7. März 1936","__speaker__284 Die Heranziehung dieses gewaltigsten militärischen Faktors , der auch in seiner Beweglichkeit und in seiner Führung als ausgezeichnet und jederzeit einsatzbereit geschildert wurde , in das mitteleuropäische Spielfeld zerstört jedes wirkliche europäische Gleichgewicht ."
"51","1935-09-11","Gesprochene Sprache","o.A., Grundsteinlegung zur Kongresshalle am Dutzendteich im Rahmen des Reichsparteitags der NSDAP in Nürnberg, 11.09.1935","__speaker__285 Diese Pläne fanden Ihren vollen Beifall und wurden von Ihnen als ausgezeichnet begutachtet ."
"52","1933-03-31","Gesprochene Sprache","o.A., Gespräch über die Aufgaben des neuen Hamburger Senats, 31.03.1933","__speaker__378 __speaker__378 Das ist ausgezeichnet ."
"53","1931-09-21","Gesprochene Sprache","o.A., Reportage vom Fußball-Länderspiel Deutschland gegen Dänemark in Hannover, 21.09.1931","__speaker__250 __speaker__250 Das Tor kommt zur Hälfte auf das Konto von Kobierski __speaker__310 Ja , der ganz ausgezeichnet zugespielt hat ."
"54","1931-09-21","Gesprochene Sprache","o.A., Reportage vom Fußball-Länderspiel Deutschland gegen Dänemark in Hannover, 21.09.1931","__speaker__310 Er hat ihn geboxt , aber zu kurz , er hat ihn dem Joergensen vor die Füße geboxt und der hat nachgeschossen , wobei , ja , die haben ihn ausgezeichnet abgedeckt ."
"55","1931-09-21","Gesprochene Sprache","o.A., Reportage vom Fußball-Länderspiel Deutschland gegen Dänemark in Hannover, 21.09.1931","__speaker__310 Uldall , der Halblinke gibt ausgezeichnet zu seinem Linksaußen ."
"56","1931-09-21","Gesprochene Sprache","o.A., Reportage vom Fußball-Länderspiel Deutschland gegen Dänemark in Hannover, 21.09.1931","__speaker__310 Die drei spielen ausgezeichnet zusammen , die Dänen ."
"57","1931-09-21","Gesprochene Sprache","o.A., Reportage vom Fußball-Länderspiel Deutschland gegen Dänemark in Hannover, 21.09.1931","__speaker__310 Michael Rohde treibt den Ball vor - Stupp ist ausgezeichnet , schlägt den Ball zurück ."
"58","1930-05-16","Gesprochene Sprache","Laven, Paul, Reportage vom Fußball-Länderkampf Deutschland gegen England im Berliner Stadion, 16.05.1930","__speaker__250 Vor der Mittellinie erreicht ihn Greg , Greg gibt ihn zum Mittelstürmer Watson , Stup köpft ins Feld zurück , Greg ist zurückgegangen , dribbelt an zwei Leuten vorbei , dribbelt auch an Heidkamp vorbei , gibt - ausgezeichnet - genau zwischen beide deutsche Backs hindurch zum Mittelstürmer , Kress ist aus dem Tor geeilt , der Engländer wird gestoppt von Kress , nein , wird gestoppt von Schütz , Kress ist schneller am Ball als der angreifende englische Mittelstürmer Watson ."
