"No.","Date","Genre","Bibl","Hit"
"77","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__135 __speaker__135 Natürlich ist die fabelhaft , die Marienbader Elegie , klar , aber ich will ja nicht auf das eine verzichten und das andere gelten lassen ."
"78","1999-08-26","Gesprochene Sprache","Das Literarische Quartett vom 26. August 1999","__speaker__135 __speaker__135 Fabelhaft , natürlich fabelhaft ."
"79","1999-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1999","__speaker__135 Er ist auch fabelhaft , nur war er schon viel reifer , der Schnitzler , als er Fräulein Else geschrieben hat , und er hat sich , wenn ich recht informiert bin , unendlich viel Mühe gegeben , mit jungen Mädchen zu sprechen , ungefähr in dem Alter , in dem Fräulein Else war , um von denen etwas über ihre Psyche , ihre Seele , ihre Erotik und auch ihre Sexualität zu erfahren ."
"80","1999-06-18","Gesprochene Sprache","Das Literarische Quartett vom 18. Juni 1999","__speaker__135 __speaker__135 Da ist er , da ist er fabelhaft !"
"81","1999-06-18","Gesprochene Sprache","Das Literarische Quartett vom 18. Juni 1999","__speaker__135 Er führt die Figuren , Konfrontationen sind es meist , zu- sammen und gibt die Stimmung fabelhaft , sehr lapidar wieder ."
"82","1999-06-18","Gesprochene Sprache","Das Literarische Quartett vom 18. Juni 1999","__speaker__135 Was Sie gesagt haben , trifft so genau , und alles , was über das Buch zu sagen ist , ist eigentlich von Ihnen schon gesagt worden - fabelhaft !"
"83","1999-06-18","Gesprochene Sprache","Das Literarische Quartett vom 18. Juni 1999","__speaker__135 __speaker__135 Jawoll , fabelhaft !"
"84","1999-06-18","Gesprochene Sprache","Das Literarische Quartett vom 18. Juni 1999","__speaker__135 Und heute gab es einen solchen Fall , wir haben über fünf Bücher gesprochen , und eigentlich waren wir uns mehr oder weniger einig , dass von den fünfen , sagen wir drei fabelhaft - __speaker__137 Sagen wir , viereinhalb !"
"85","1999-04-23","Gesprochene Sprache","Das Literarische Quartett vom 23. April 1999","__speaker__135 __speaker__135 Passt fabelhaft ."
"86","1999-04-23","Gesprochene Sprache","Das Literarische Quartett vom 23. April 1999","__speaker__135 Natürlich ist der Vergleich mit Ingo Schulze falsch , aber ich kann diesen Humor - er ist nicht so fabelhaft , dass ich sagen könnte : Geschenkt , es sind schreckliche Dinge , aber der Humor ist auf hoher Ebene ."
"87","1999-03-05","Gesprochene Sprache","Das Literarische Quartett vom 5. März 1999","__speaker__135 Eine Stadt kann den Hintergrund , die Szene bieten für einen Roman , und zwar einen fabelhaft geschriebenen oder einen schwach geschriebenen Hintergrund ."
"88","1999-03-05","Gesprochene Sprache","Das Literarische Quartett vom 5. März 1999","__speaker__135 Diese Verteidigung war fabelhaft , Sie haben alles getan , was man kann , um das Buch zu verteidigen ."
"89","1998-12-11","Gesprochene Sprache","Das Literarische Quartett vom 11. Dezember 1998","__speaker__135 Es ist ein glänzender Beobachter , ein Mann , der mit den Details , den sprechenden Details fabelhaft umgehen kann - wie gebildete Leute sagen - , mit den signifikanten Details , die etwas zeigen , die veranschaulichen sollen ."
"90","1998-12-11","Gesprochene Sprache","Das Literarische Quartett vom 11. Dezember 1998","__speaker__135 Das zeigt er fabelhaft !"
"91","1998-08-14","Gesprochene Sprache","Das Literarische Quartett vom 14. August 1998","__speaker__135 Dass er aber jetzt diese Stelle in den aspekten im Zweiten Deutschen Fernsehen aus dem ganzen Roman hervorhebt und stolz vorliest , wie er das fabelhaft geschrieben hat , das ist die Stelle , auf die er stolz ist , dieses missfällt mir arg. Es ist schon eine üble Stelle ."
"92","1998-08-14","Gesprochene Sprache","Das Literarische Quartett vom 14. August 1998","__speaker__162 Das Buch ist fabelhaft geschrieben , ich habe es jeden Tag gerne zu lesen begonnen , aber nach einer Stunde habe ich es immer sehr ungern gelesen ."
"93","1998-08-14","Gesprochene Sprache","Das Literarische Quartett vom 14. August 1998","__speaker__135 __speaker__135 Na ja , aber die Qualität ist so , wenn das in umgekehrter Reihenfolge gekommen wäre , hätten Sie auch gesagt : Javier Marías ist fabelhaft und das ist schwach ."
"94","1998-08-14","Gesprochene Sprache","Das Literarische Quartett vom 14. August 1998","__speaker__135 Alle habe sie eins gesehen : Das Handwerk ist hier fabelhaft ."
"95","1998-08-14","Gesprochene Sprache","Das Literarische Quartett vom 14. August 1998","__speaker__135 Und hier leider , in dem Roman , ist es so fabelhaft nicht ."
"96","1998-06-05","Gesprochene Sprache","Das Literarische Quartett vom 5. Juni 1998","__speaker__135 Er sagt : Das waren wörtliche Übersetzungen aus dem Ungarischen , was ich da übersetzt habe , die ungarischen Bilder schienen den Deutschen fabelhaft ."
"97","1998-06-05","Gesprochene Sprache","Das Literarische Quartett vom 5. Juni 1998","__speaker__135 In der deutschen Übersetzung klingt dieser Stil noch fabelhaft ."
"98","1998-04-24","Gesprochene Sprache","Das Literarische Quartett vom 24. April 1998","__speaker__135 Diese Reise gleich am Anfang nach Italien , fabelhaft gemacht ."
"99","1998-04-24","Gesprochene Sprache","Das Literarische Quartett vom 24. April 1998","__speaker__135 Diese Sache dann mit der Tankstelle , mit der Party , die da stattfindet - fabelhaft gemacht ."
"100","1998-04-24","Gesprochene Sprache","Das Literarische Quartett vom 24. April 1998","__speaker__135 Da hat Goethe mal geschrieben : Horaz fabelhaft , nein - Homer , das ist das Richtige , dieses jüdische und christliche Zeug , ach , ist nichts wert , die Bibel ."
"101","1998-04-24","Gesprochene Sprache","Das Literarische Quartett vom 24. April 1998","__speaker__135 Als Historiker war er schon gebildet , dieser dreißigjährige Kritiker , er hat es schon fabelhaft gemacht , glaube ich ."
"102","1998-04-24","Gesprochene Sprache","Das Literarische Quartett vom 24. April 1998","__speaker__135 Er sieht fabelhaft die charakterisierenden Details der Personen ."
"103","1998-04-24","Gesprochene Sprache","Das Literarische Quartett vom 24. April 1998","__speaker__135 Aber er kann die Leute , ihr Milieu , ihre Welt darstellen , und das macht er fabelhaft ."
"104","1998-04-24","Gesprochene Sprache","Das Literarische Quartett vom 24. April 1998","__speaker__135 Ganz ausführlich , und der Wieland ist fabelhaft ."
"105","1998-04-24","Gesprochene Sprache","Das Literarische Quartett vom 24. April 1998","__speaker__135 Die Amores , die Wieland schildert , was er so vor allem mit einer jungfräulichen Witwe in Zürich erlebt hat - fabelhaft geschrieben !"
"106","1998-04-24","Gesprochene Sprache","Das Literarische Quartett vom 24. April 1998","__speaker__135 __speaker__135 Freunde , ich habe eine Frage zu stellen , eine Frage zu dem ganzen Henry James , aber davor noch ganz kurz : Sie haben zu Recht erwähnt , man muss sagen , bei Böttiger ein großes Kapitel über Madame de Sta ¸ l , fabelhaft gezeigt , wie mal eine Frau eben nicht so gleich ohnmächtig wird , eine zarte Dame , sondern eine tüchtige Frau , vor der ganz Weimar Angst hatte ."
"107","1998-02-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Februar 1998","__speaker__135 Und dann stellt sich heraus , die letzten hundert eigentlich auch fabelhaft und zwischendurch das und das ganz schön ."
"108","1998-02-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Februar 1998","__speaker__135 Das ist ein erzählendes Buch , von einem grandiosen Erzähler geschrieben und einem Erzähler , der fabelhaft mit allen Details umgehen kann ."
"109","1998-02-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Februar 1998","__speaker__135 Und was mir an dem Stil auffällt - man soll nicht von Leuten verlangen , dass sie schreiben wie Thomas Mann , aber mal umgekehrt herum : Thomas Mann , genialer Stilist , aber einer , wenn der einen fabelhaften Abschnitt geschrieben hat , dann habe ich den Eindruck , er guckt hoch , blickt auf den Leser und winkt dem Leser : » Du musst doch zugeben , das habe ich fabelhaft gemacht , den Abschnitt ."
"110","1997-12-11","Gesprochene Sprache","Das Literarische Quartett vom 11. Dezember 1997","__speaker__135 Die Prosa hat ihre Schwächen in der zweiten Hälfte , mag ja sein , aber sie ist in der ersten Hälfte so fabelhaft , da ist nicht eine Seite , die überflüssig wäre : Und jede Seite zeigt diese schwierige Beziehung vor einem sehr zart angedeuteten , zeitgeschichtlichen Hintergrund ."
