"No.","Date","Genre","Bibl","Hit"
"111","1993-12-06","Gesprochene Sprache","o.A., ""Tun wir das Bestmögliche?"", in: Der Spiegel 06.12.1993, S. 248, 250 u. 252-254","__speaker__661 Und da erzählt der Herr Schmidbauer , das Beispiel Belgien sei so wunderbar ."
"112","1993-10-21","Gesprochene Sprache","Das Literarische Quartett vom 21. Oktober 1993","__speaker__136 Das bringt doch der Hilbig wunderbar heraus ."
"113","1993-08-15","Gesprochene Sprache","Das Literarische Quartett vom 15. August 1993","__speaker__191 Und es ist ein sehr lustiger , sehr ironischer Roman , aus einer wunderbar ironischen Distanz erzählter Roman , der im Grunde genommen den amerikanischen Puritanismus wunderbar aufs Korn nimmt und mir auch noch - wir sagen immer , wir leben im 20. Jahrhundert , im Atomzeitalter , ich glaube nach der Lektüre dieses Romans feststellen zu dürfen , in Tat und Wahrheit leben wir im Jahrhundert der gesunden Ernährung ."
"114","1993-08-15","Gesprochene Sprache","Das Literarische Quartett vom 15. August 1993","__speaker__191 Und es ist ein sehr lustiger , sehr ironischer Roman , aus einer wunderbar ironischen Distanz erzählter Roman , der im Grunde genommen den amerikanischen Puritanismus wunderbar aufs Korn nimmt und mir auch noch - wir sagen immer , wir leben im 20. Jahrhundert , im Atomzeitalter , ich glaube nach der Lektüre dieses Romans feststellen zu dürfen , in Tat und Wahrheit leben wir im Jahrhundert der gesunden Ernährung ."
"115","1993-08-15","Gesprochene Sprache","Das Literarische Quartett vom 15. August 1993","__speaker__135 __speaker__135 Nein , er ist nicht so schlecht , aber man kann wunderbar leben , ohne ihn gelesen zu haben ."
"116","1993-05-13","Gesprochene Sprache","Das Literarische Quartett vom 13. Mai 1993","__speaker__136 __speaker__136 Na ja , gerade im Gegensatz zur Byatt , die das nämlich sehr wunderbar kann ."
"117","1993-03-18","Gesprochene Sprache","Das Literarische Quartett vom 18. März 1993","__speaker__136 Es ist ein vollkommen unironisches , ein unsatirisches Buch. Als Satire wäre es wunderbar , aber das ist es nicht !"
"118","1993-03-18","Gesprochene Sprache","Das Literarische Quartett vom 18. März 1993","__speaker__135 Denn die leidet wirklich , die anderen beiden spielen wunderbar ."
"119","1993-01-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Januar 1993","__speaker__136 Und das hat er doch wunderbar eingefangen ."
"120","1993-01-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Januar 1993","__speaker__137 __speaker__137 Ein wunderbar literarisches Mittel ."
"121","1993-01-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Januar 1993","__speaker__135 __speaker__135 Ja , Herr Karasek - __speaker__183 Gerade deshalb , weil er sprachlich oft zu wunderbar ist ."
"122","1993-01-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Januar 1993","__speaker__183 Denn das , was der Simon macht , dass er das alles zerschmettert und nur noch die Splitter wunderbar artistisch beschreibt , das hält nicht an der Lektüre ."
"123","1992-11-19","Gesprochene Sprache","Das Literarische Quartett vom 19. November 1992","__speaker__139 Das Buch hört nämlich nicht mit dieser - das finde ich in der Tat wunderbar - Szene auf , die ein bisschen an diese Kafkasche __speaker__136 Strafkolonie ."
"124","1992-11-19","Gesprochene Sprache","Das Literarische Quartett vom 19. November 1992","__speaker__139 Er wusste nicht , was er machte , aber es war wunderbar ."
"125","1992-10-08","Gesprochene Sprache","Das Literarische Quartett vom 8. Oktober 1992","__speaker__135 __speaker__135 Ja , wunderbar ."
"126","1992-10-08","Gesprochene Sprache","Das Literarische Quartett vom 8. Oktober 1992","__speaker__137 Es ist wunderbar , wie ein Mann seine große Liebe schildert ."
"127","1992-10-08","Gesprochene Sprache","Das Literarische Quartett vom 8. Oktober 1992","__speaker__137 __speaker__137 Und wunderbar geschildert , ja ."
"128","1992-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1992","__speaker__137 __speaker__137 Nur , es ist so , dass überzeugend in den Kritiken ist - also bei der Lektüre des Buches ist es mir so gegangen , dass ich am Anfang vergnügt gelesen habe , der Becker ist ja ein wunderbarer Parleur , der kann wunderbar erzählen ."
"129","1992-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1992","__speaker__137 Er kann wunderbar parlieren , Sie haben Recht , und dann habe ich immer mehr gedacht , wann kommt denn was , was will ich denn wissen ?"
"130","1992-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1992","__speaker__136 __speaker__136 Das ist wunderbar , dass Sie das sagen ."
"131","1992-08-13","Gesprochene Sprache","Das Literarische Quartett vom 13. August 1992","__speaker__135 Er lacht über alles , ist bester Laune - __speaker__137 . . Aber , Herr Reich-Ranicki , Sie übersehen doch in Ihrer Empörung Folgendes : Jurek Becker , das mag kein großer Roman sein , schildert eines auf hinreißende Weise : Diese Klaviatur des Ost- West-Gefälles , auf der die DDR-Schriftsteller - deshalb haben Sie jetzt teilweise eine Nostalgie nach der DDR - wunderbar ihre Bedeutung hochspielen wollten ."
"132","1992-06-22","Gesprochene Sprache","o.A., Paul Breitner, Hans-Peter Briegel und Harald Schumacher, in: Der Spiegel 22.06.1992, S. 228-229 u. 233-236","__speaker__615 Hier wurde wunderbar demonstriert : Das ist Schwachsinn , war es immer und wird es immer sein ."
"133","1992-05-28","Gesprochene Sprache","Das Literarische Quartett vom 28. Mai 1992","__speaker__135 Der Autor , der selber nun redet und erzählt , wie schön , wie wunderbar er es gemeint hat , wie alles ironisch gemeint sei - als sei es unmöglich zu merken , was er wollte - , ein solcher Autor ist doch wohl in einer ziemlich ernsten und tiefen Krise ."
"134","1992-05-28","Gesprochene Sprache","Das Literarische Quartett vom 28. Mai 1992","__speaker__137 __speaker__137 Ja , diese ist wunderbar , weil es eine ganz altmodische Liebesgeschichte in Wahrheit ist , eine Dreiecksgeschichte , und dieser Computeroberaufseher , in den sie sich verliebt hat , der am Schluss an ihr vorbeifährt mit dem Fahrrad , der sich immer in ihre Geschichten einmischt . . . als Autorität die korrigiert ."
"135","1992-05-28","Gesprochene Sprache","Das Literarische Quartett vom 28. Mai 1992","__speaker__137 Ich beherrsche diese Sprache leider nicht , aber sie ist wunderbar umgesetzt ."
"136","1992-03-05","Gesprochene Sprache","Das Literarische Quartett vom 5. März 1992","__speaker__135 Das ist ein sehr intelligentes Buch und ein vernünftiges Buch und ein stilistisch schönes Buch. __speaker__137 Ein wunderbar geschriebenes Buch. __speaker__135 Es ist für mich ein ganz wichtiges Buch , es ist wahrscheinlich das Buch dieses Frühjahrs ."
"137","1991-12-09","Gesprochene Sprache","Das Literarische Quartett vom 9. Dezember 1991","__speaker__137 Und es sind wunderbar schmissige , manchmal bedenkenlose , manchmal schöne , immer popartige Lieder , manchmal auch agitpropartige , __speaker__164 Manchmal auch schlechte ."
