"No.","Date","Genre","Bibl","Hit"
"1","1998-11-10","Gesprochene Sprache","3. Sitzung des 14. Bundestages","__speaker__36 Die erste betrifft die globale Verantwortung Sie sind dem Thema , das Herr Kinkel für uns exzellent vorbereitet hat - Beteiligung an friedensschaffenden Maßnahmen und Sitz im UN-Sicherheitsrat , ausgewichen ."
"2","1994-03-31","Gesprochene Sprache","Das Literarische Quartett vom 31. März 1994","__speaker__137 __speaker__137 Warum muss man wirklich schon - __speaker__141 . . Also , das ist doch wirklich - , das ist unfair angesichts dieser Riesenarbeit , die ich für exzellent halte , nun ein » Bureau « da herauszuziehen wie eine Büroklammer ."
"3","1994-03-31","Gesprochene Sprache","Das Literarische Quartett vom 31. März 1994","__speaker__135 Ich will gar nicht sagen , diese Übersetzung sei exzellent ."
